head,relation,tail,text
dhritaarashtra,brother of,shakuni,"acala1, brother in law of dhritaarashtra, brother of shakuni."
ashvashanku,brother of,ashva,"ashvashanku, brother of ashva, cf."
ashvashiras1,brother of,ashva,"ashvashiras1, brother of ashva, is incarnated as a king among the kaikeyas."
ashvagriva1,brother of,ashva,"ashvagriva1, brother of ashva, incarnated as king rocamaana."
ashvapati1,brother of,ashva1,"ashvapati1, brother of ashva1, incarnate as king haardikya."
anikavidaarana,brother of,jayadratha,"anikavidaarana, brother of jayadratha."
carmavat,brother of,shakuni,"carmavat, brother of shakuni."
citra4,brother of,citrasena,"citra4, brother of citrasena, the abhisaara king."
citraratha3,brother of,the paancaala prince,"citraratha3, brother of the paancaala prince viraketu."
citrasena6,brother of,citra,"citrasena6, king of the abhisaaras, brother of citra."
citrasena8,brother of,karna,"citrasena8, brother of karna."
citravarman3,brother of,viraketu,"citravarman3, brother of viraketu."
somadatta,brother of,bhuri,"shala3, son of somadatta and brother of bhuri and bhurishravas."
somadatta,brother of,bhurishravas,"shala3, son of somadatta and brother of bhuri and bhurishravas."
shalya,brother of,maadri,"shalya, king of the madras, brother of maadri, the wife of paandu, and father of rukmaratha                                                ʹ."
shankha3,brother of,likhita,"shankha3, an ancient rishi, brother of likhita."
sharabha6,brother of,shakuni,"sharabha6, brother of shakuni."
shatrunjaya3,brother of,karna,"shatrunjaya3, brother of karna."
shrutasena1,brother of,janamejaya,"shrutasena1, brother of janamejaya paarikshita."
shrutaayus3,brother of,acyutaayus,"shrutaayus3, brother of acyutaayus."
dhaumya1,brother of,asita,"dhaumya1, the purohita of the paandavas, younger brother of asita devala."
dhaumya,brother of,devala,"at that time dhaumya, the younger brother of devala, was dwelling at the tirtha named utkocaka, engaged in ascetic penances."
dvita,brother of,ekata,"dvita, a rishi, brother of ekata and trita."
dvita,brother of,trita,"dvita, a rishi, brother of ekata and trita."
ekata,brother of,dvita,"ekata, a rishi, brother of dvita and trita."
ekata,brother of,trita,"ekata, a rishi, brother of dvita and trita."
gaja,brother of,shakuni,"gaja, a gaandhaara warrior, the younger brother of shakuni."
subala,brother of,shakuni,"gavaaksha2, a gandhaara warrior, son of subala and brother of shakuni."
somadatta,brother of,karna,"sanjaya related drona slew the kaikeyas and the sons of dhrishtadyumna, etc and shibi duryodhana sent drona a driver for his chariot the kalinga prince attacked bhima  and was slain by bhima with his bare fiststhe brother of the kalinga prince, vishokaidescription of his chariotpage3 a, the father of somadatta the brother of karna  with the vaayavya weapon, abaning yudhishthira, paancaalas, etc rallying the troops, page3 b, with white steeds of the sindhu breedbaahlikas son, description, advancing against dronaadvancing in order to get at dronaadvancing against dronaadvancing in order to slay dronaadvancing in order to slay drona, ascending shataanikas chariotwith terrible looking pishaacas of equine faces yoked to his chariot description krishna, dhaartaraashtrapage3 a dhaartaraashtra, proceeding towards dronashikhandin was carried away by his charioteerdescription, the paancaalas and paandavas in order to rescue dronain order to rescue dhrishtadyumnaalso dushaasana, etc having mounted the chariot of kritavarman his son uluka, especially drona and karnaespecially yudhishthiradescription, and the srinjayasdescriptionand krishnawho had celestial weapons, as also those used by raa."
ilvala,brother of,vaataapi,"ilvala, an asura, the brother of vaataapi."
jataayu,brother of,sampaati,"jataayu, a vulture, brother of sampaati."
kaamboja3,brother of,sudakshina,kaamboja3  = the younger brother of sudakshina.
ketudharman,brother of,the trigarta king suryavarman,"ketudharman, the younger brother of the trigarta king suryavarman."
sharadvat,brother of,kripi,"kripa, a brahman, son of sharadvat and brother of kripi."
raakshasa,brother of,raavana,"kumbhakarna1, a raakshasa, brother of raavana."
dasharatha,brother of,raama,"lakshmana1, son of dasharatha and sumitraa and brother of raama."
likhita,brother of,shankha,"likhita, an ancient rishi, brother of shankha."
madiraaksha,brother of,viraata,"madiraashva1 = madiraaksha, the brother of viraata."
madiraaksha,brother of,viraata,"madiraaksha, brother of viraata."
raibhya,brother of,arvaavasu,"paraavasu, a brahman, son of raibhya and brother of arvaavasu."
raakshasa,brother of,dushana,"pramaathin2, a raakshasa, brother of dushana and vajravega dushanaavarajau vajravega pauvajravega paukumbhakarnaadivadhadushanaavarajam, slain by the monkey nala."
raakshasa,brother of,vajravega,"pramaathin2, a raakshasa, brother of dushana and vajravega dushanaavarajau vajravega pauvajravega paukumbhakarnaadivadhadushanaavarajam, slain by the monkey nala."
pushkara3,brother of,nala,"pushkara3, brother of nala   p."
rukmin,brother of,rukmini,"rukmin, king of bhojakata, son of bhishmaka, and brother of rukmini."
sampaati1,brother of,jataayus,"sampaati1, a vulture, brother of jataayus."
sangraamajit2,brother of,karna,"sangraamajit2, brother of karna."
subhaga,brother of,shakuni,"subhaga, brother of shakuni v."
sugriva2,brother of,vaalin,"sugriva2, a monkey chief in kishkindhaa, brother of vaalin."
sunaaman2,brother of,kamsa,"sunaaman2, brother of kamsa."
rishi,brother of,vibhaavasu,"supratika3, a rishi, brother of vibhaavasu."
trita,brother of,ekata,"trita, a rishi, brother of ekata and dvita."
trita,brother of,dvita,"trita, a rishi, brother of ekata and dvita."
ugrasena1,brother of,janamejaya,"ugrasena1, brother of janamejaya."
upasunda,brother of,sunda,"upasunda, an asura, brother of sunda."
uttamaujas,brother of,yudhaamanyu,"uttamaujas, a paancaala prince, brother of yudhaamanyu                 ʹ, ʹ."
vajravega,brother of,dushana,"vajravega, a raakshasa, brother of dushana and pramaathin."
vajravega,brother of,pramaathin,"vajravega, a raakshasa, brother of dushana and pramaathin."
vaalin2,brother of,sugriva,"vaalin2, a monkey king, brother of sugriva."
vasu2,brother of,dushyanta,"vasu2, a prince, brother of dushyanta."
vaataapi,brother of,ilvala,"vaataapi or vaataapin, an asura, younger brother of ilvala."
rishi,brother of,supratika,"vibhaavasu1, a rishi, brother of supratika."
vinda1,brother of,anuvinda,"vinda1, an avanti prince, brother of anuvinda."
vinda2,brother of,anuvinda,"vinda2, a kaikeya prince, brother of anuvinda."
vipaatha,brother of,karna,"vipaatha, younger brother of karna."
vrikaratha,brother of,karna,"vrikaratha, brother of karna."
yaaja,brother of,upayaaja,"yaaja, a brahmarshi, brother of upayaaja."
yudhaamanyu,brother of,uttamaujas,"yudhaamanyu, a paancaala, brother of uttamaujas                  ʹ, ʹ."
suta,father of,karna,"adhiratha, a suta in the neighbourhood of campaa and friend of dhritaraashtra husband of raadhaa and foster father of karna, whom he called vasushena and sent to haastinapura to be instructed by drona  at the show of arms he enters the arena to congratulate karna as king of anga."
samyaati,father of,saarvabhauma,"ahamyaati, a king, son of samyaati and father of saarvabhauma."
hiranyakashipu,father of,mandaara,"hiranyakashipu, who was the father of mandaara, irresistible even to vishnus discus sudarshana  shiva had further granted boons to the daanavas  vidyutprabha, shatamukha, and to brahmaan, etc."
aurva,father of,ricika,aurva   son of cyavana and aarushi and father of ricika.
aayunaathaanaranyenakrishnason,father of,nahushaaanushaasan,aayunaathaanaranyenakrishnason of pururavas and father of nahushaaanushaasan.
ilaa,father of,pururavasaanushaasanik,"b, krishna vaasudevamarried to ilaa and father of pururavasaanushaasanik."
cikura,father of,the serpent,"cikura, a serpent, father of the serpent sumukha."
vasishtha,father of,paraashara,"shaktri, a rishi, son of vasishtha and father of paraashara."
shalya,father of,rukmaratha,"shalya, king of the madras, brother of maadri, the wife of paandu, and father of rukmaratha                                                ʹ."
muni,father of,shringin,"shamika1, a muni, father of shringin."
shaantanu,father of,bhishma,"shaantanu, son of pratipa and father of bhishma, citraangada, and vicitravirya."
shaantanu,father of,citraangada,"shaantanu, son of pratipa and father of bhishma, citraangada, and vicitravirya."
shaantanu,father of,vicitravirya,"shaantanu, son of pratipa and father of bhishma, citraangada, and vicitravirya."
shini1,father of,satyaka,"shini1, father of satyaka and grandfather of saatyaki."
yaadava,father of,vasudeva,"shura2, a yaadava, father of vasudeva and kunti."
yaadava,father of,kunti,"shura2, a yaadava, father of vasudeva and kunti."
dasharatha,father of,raama,"dasharatha, king of ayodhyaa and father of raama."
dilipa1,father of,bhagiratha,"dilipa1, an ancient king, the father of bhagiratha."
bharadvaaja,father of,ashvatthaaman,"drona, the preceptor of the dhaartaraashtras and the paandavas, dhrishtadyumna, etc son of bharadvaaja, husband of kripi, and father of ashvatthaaman."
drupada,father of,dhrishtadyumna,"drupada, king of the paancaalas, son of prishata, father of dhrishtadyumna, shikhandin, draupadi, etc."
drupada,father of,shikhandin,"drupada, king of the paancaalas, son of prishata, father of dhrishtadyumna, shikhandin, draupadi, etc."
drupada,father of,draupadi,"drupada, king of the paancaalas, son of prishata, father of dhrishtadyumna, shikhandin, draupadi, etc."
shakuntalaa,father of,bharata,"dushyanta1, an ancient king, the husband of shakuntalaa and the father of bharata."
dyumatsena,father of,satyavat,"dyumatsena, king of the shaalvas, husband of shaibyaa, and father of satyavat."
kaanyakubja,father of,vishvaamitra,"gaadhi or gaadhin, a king of kaanyakubja, the son of kushika and the father of vishvaamitra and satyavati."
kaanyakubja,father of,satyavati,"gaadhi or gaadhin, a king of kaanyakubja, the son of kushika and the father of vishvaamitra and satyavati."
gaandhaararaaja3,father of,gaandhaari,"gaandhaararaaja3 = the father of gaandhaari, the wife of krishna."
gavalgana,father of,the suta,"gavalgana, the father of the suta sanjaya."
kaikeyas,father of,somadatta,"sanjaya related drona slew the kaikeyas and the sons of dhrishtadyumna, etc and shibi duryodhana sent drona a driver for his chariot the kalinga prince attacked bhima  and was slain by bhima with his bare fiststhe brother of the kalinga prince, vishokaidescription of his chariotpage3 a, the father of somadatta the brother of karna  with the vaayavya weapon, abaning yudhishthira, paancaalas, etc rallying the troops, page3 b, with white steeds of the sindhu breedbaahlikas son, description, advancing against dronaadvancing in order to get at dronaadvancing against dronaadvancing in order to slay dronaadvancing in order to slay drona, ascending shataanikas chariotwith terrible looking pishaacas of equine faces yoked to his chariot description krishna, dhaartaraashtrapage3 a dhaartaraashtra, proceeding towards dronashikhandin was carried away by his charioteerdescription, the paancaalas and paandavas in order to rescue dronain order to rescue dhrishtadyumnaalso dushaasana, etc having mounted the chariot of kritavarman his son uluka, especially drona and karnaespecially yudhishthiradescription, and the srinjayasdescriptionand krishnawho had celestial weapons, as also those used by raa."
sudeva,father of,divodaasa,"haryashva2, king of the kaashis, father of sudeva and grand father of divodaasa."
gire,father of,umaa,"b, gire, father of umaa, whom he bestowed upon shivabhrigu therefore cursed h that it should have no gems."
hiranyadhanus,father of,ekalavya,"hiranyadhanus, king of the nishaadas and father of ekalavya."
hridika,father of,kritavarman,"hridika, father of kritavarman."
ricika,father of,raama,"jamadagni, a rishi, the son of ricika and satyavati and the father of raama."
rishi,father of,aastika,"jaratkaaru1, a rishi, husband of jaratkaaru and father of aastika."
kaashipati1,father of,ambaa,"kaashipati1, the father of ambaa, ambikaa, and ambaalikaa."
kaashipati1,father of,ambikaa,"kaashipati1, the father of ambaa, ambikaa, and ambaalikaa."
kaashipati1,father of,ambaalikaa,"kaashipati1, the father of ambaa, ambikaa, and ambaalikaa."
kaashiraaja2,father of,ambaa,"kaashiraaja2, the father of ambaa, ambikaa, and ambaalikaa."
kaashiraaja2,father of,ambikaa,"kaashiraaja2, the father of ambaa, ambikaa, and ambaalikaa."
kaashiraaja2,father of,ambaalikaa,"kaashiraaja2, the father of ambaa, ambikaa, and ambaalikaa."
kaashiraaja3,father of,the two wives,"kaashiraaja3, the father of the two wives of brihadratha."
kaashya1,father of,ambaa,"kaashya1, the father of ambaa, ambikaa, and ambaalikaa."
kaashya1,father of,ambikaa,"kaashya1, the father of ambaa, ambikaa, and ambaalikaa."
kaashya1,father of,ambaalikaa,"kaashya1, the father of ambaa, ambikaa, and ambaalikaa."
kahoda,father of,ashtaavakra,"kahoda, a brahman, father of ashtaavakra."
kaamboja2,father of,sudakshina,kaamboja2 = the father of sudakshina.
kaambojaraaja3,father of,sudakshina,kaambojaraaja3 = the father of sudakshina.
vivimsha,father of,suvarcas,"khaninetra, a king, son of vivimsha and father of suvarcas."
lomaharshana,father of,ugrashravas,"lomaharshana, a suta, father of ugrashravas."
lomapaada,father of,shaantaa,"lomapaada, king of the angas and father of shaantaa."
manu1,father of,the human race,"manu1, father of the human race, one or more prajaapatis   bis."
prajaapate,father of,ikshvaakuaanushaasanik,"prajaapate, father of ikshvaakuaanushaasanik."
brahmaan,father of,kashyapa,"marici1, a rishi, son of brahmaan and father of kashyapa."
krishnadeva,father of,virajasgitam,"hari, = krishna= = harim = nparam brahma nparam tapa npara deva sarvam na sadaa= krishnadeva, father of virajasgitam, a sentence of his  quotedvishnum."
dattaatreya,father of,shrimat,"nimi2, son of dattaatreya and father of shrimat."
kunti,father of,the five paandavas,"paandu, son of vyaasa by ambaalikaa, the wi of vicitravirya husband of kunti and maadri and father of the five paandavas."
parikshit,father of,janamejaya,"parikshit or parikshit, son of abhimanyu and uttaraa, and father of janamejaya."
prajaapati2,father of,the vasus,"prajaapati2, the father of the vasus."
pramati,father of,ruru,"pramati, a rishi, father of ruru."
prishata,father of,drupadadrupadafriend,"prishata, king of the paancaalas, father of drupadadrupadafriend of bharadvaajafather of drupadacaitrarathap."
raibhya,father of,arvaavasu,"raibhya, a brahman, father of arvaavasu and paraavasu."
raibhya,father of,paraavasu,"raibhya, a brahman, father of arvaavasu and paraavasu."
rishi,father of,jamadagni,"ricika2, a rishi, son or descendant of bhrigu, and father of jamadagni and shunashepha."
rishi,father of,shunashepha,"ricika2, a rishi, son or descendant of bhrigu, and father of jamadagni and shunashepha."
shini,father of,saatyaki,"satyaka, a vrishni, son of shini and father of saatyaki."
srinjaya3,father of,suvarnashthivin,"srinjaya3, father of suvarnashthivin."
suratha3,father of,kotikaasya,"suratha3, the father of kotikaasya."
kaashyapa,father of,rishyashringa,"having, at the command of lomasha, bathed in nandaa, they proceeded to the river kaushiki  with the hermitages of vishvaamitra and of kaashyapa, the father of rishyashringa."
ugrasena6,father of,kamsa,"ugrasena6, king of the vrishnis, father of kamsa."
vaidarbha,father of,lopaamudraa,"vaidarbha, the father of lopaamudraa."
vaidarbhi,father of,lopaamudraa,"vaidarbhi, the father of lopaamudraa."
vibhaandaka,father of,rishyashringa,"vibhaandaka, a rishi, father of rishyashringa."
vidarbharaaja2,father of,lopaamudraa,"vidarbharaaja2, the father of lopaamudraa."
viradyumna,father of,bhuridyumna,"viradyumna, a king, father of bhuridyumna."
virasena,father of,nala,"virasena, king of the nishadhas, father of nala."
viraata,father of,shankha,"viraata, king of the matsyas, husband of sudeshnaa, father of  shankha, uttara, and uttaraa."
viraata,father of,uttara,"viraata, king of the matsyas, husband of sudeshnaa, father of  shankha, uttara, and uttaraa."
viraata,father of,uttaraa,"viraata, king of the matsyas, husband of sudeshnaa, father of  shankha, uttara, and uttaraa."
eggmaartandasya,father of,the ashvins,"b, to dvitiyajanmany andasamjnitasya maartando aan shraaddhadeva, son of aditi and born from an eggmaartandasya, father of the ashvins who came out of the nostrils of his wife sanjnaa."
vriddhakshatra1,father of,jayadratha,"vriddhakshatra1, king of the sindhus, father of jayadratha."
mhbhr,father of,shuka,"vyaasa, a rishi, the supposed compiler of mhbhr son of paraashara and satyavati, father of shuka, and, with the wives of vicitravirya, of dhritaraashtra, paandu, and vidura his proper name is krishna, and on account of his being born on an island  he is called dvaipaayana  and krishna dvaipaayana  he arranged the vedas."
adrishyanti,mother of,paraashara,"adrishyanti, wife of shaktri  and daughter in law of vasishtha, and mother of paraashara."
shakuntalaa,mother of,bharata,"shakuntalaa, daughter of vishvaamitra and menakaa, wife of dushyanta, and mother of bharata."
damayanti,mother of,indrasena,"damayanti, daughter of the vidarbha king bhima, wife of nala and mother of indrasena and indrasenaa."
damayanti,mother of,indrasenaa,"damayanti, daughter of the vidarbha king bhima, wife of nala and mother of indrasena and indrasenaa."
kashyapa,mother of,the daanavas,"danu, daughter of daksha and wife of kashyapa, mother of the daanavas."
diti,mother of,the daityas,"diti, the daughter of daksha, the wife of kashyapa and mother of the daityas."
gaandhaari,mother of,duryodhana,"gaandhaari, the daughter of the gaandhaara king subala, the wife of dhritaraashtra1, and the mother of duryodhana, etc."
gandharvi,mother of,the horses,"gandharvi, the mother of the horses."
bhimasena,mother of,ghatotkaca,"hidimbaa, a raakshasi, sister of hidimba and by bhimasena, mother of ghatotkaca."
manu,mother of,pururavas,"ilaa, the daughter of manu vaivasvata and the mother of pururavas."
jaambavati,mother of,shaamba,"jaambavati, wife of krishna and mother of shaamba."
jaratkaaru2,mother of,aastika,"jaratkaaru2, sister of vaasuki, the king of serpents, wife of jaratkaaru, and mother of aastika."
kadru,mother of,the serpents,"kadru, daughter of daksha, wife of kashyapa, and mother of the serpents."
kausalyaa,mother of,raama,"kausalyaa, wife of dasharatha and mother of raama."
kripi,mother of,ashvatthaa man,"kripi, sister of kripa, wife of drona, and mother of ashvatthaa man."
kunti,mother of,yudhishthira,"kunti, daughter of shura, ated by kuntibhoja, by surya mother of karna, wife of paandu, and mother of yudhishthira, bhimasena, and arjuna her proper name was prithaa."
kunti,mother of,bhimasena,"kunti, daughter of shura, ated by kuntibhoja, by surya mother of karna, wife of paandu, and mother of yudhishthira, bhimasena, and arjuna her proper name was prithaa."
maadri,mother of,nakula,"maadri, the wife of paandu and mother of nakula and sahadeva."
maadri,mother of,sahadeva,"maadri, the wife of paandu and mother of nakula and sahadeva."
krodhavashaa,mother of,the elephants,"maatangi, daughter of krodhavashaa, mother of the elephants."
muni4,mother of,the devagandharvas mauneyas,"muni4, fem mother of the devagandharvas mauneyas."
krishnavaishna,mother of,n.,"had been slain by krishnavaishna vaastrabhumi, the mother of n."
raadhaa,mother of,karna,"raadhaa, wife of adhiratha, foster mother of karna."
rataa,mother of,the vasu ahar,"rataa, wife of prajaapati2 and mother of the vasu ahar."
rukmini,mother of,pradyumna,"rukmini, sister of rukmin, wife of krishna, and mother of pradyumna, etc."
sanjnaa,mother of,the ashvins,"sanjnaa, wife of vivasvat and mother of the ashvins."
satyavati,mother of,citraangada,"satyavati, daughter of vasu and adrikaa, by paraashara mother of vyaasa, wife of shaantanu and mother of citraangada and vicitraviryasarpasattrakrishnasya."
satyavati,mother of,vicitraviryasarpasattrakrishnasya.,"satyavati, daughter of vasu and adrikaa, by paraashara mother of vyaasa, wife of shaantanu and mother of citraangada and vicitraviryasarpasattrakrishnasya."
subhadraa,mother of,abhimanyu,"subhadraa, daughter of vasudeva, wife of arjuna, and mother of abhimanyu."
sujaataa,mother of,ashtaavakra,"sujaataa, daughter of uddaalaka, wife of kaoda, and mother of ashtaavakra."
surasaa,mother of,the serpents,"surasaa, the mother of the serpents."
uttaraa,mother of,parikshit,"uttaraa, daughter of viraata, wife of abhimanyu, mother of parikshit."
vadavaa,mother of,the horses,"vadavaa, the mother of the horses."
vidulaa,mother of,sanjaya,"vidulaa, a princess, mother of sanjaya, the sauvira king."
vinataa,mother of,the vainateyas,"vinataa, daughter of daksha and wife of kashyapa, mother of the vainateyas, i."
ambikaa,sister of,ambaalikaa,"ambikaa, sister of ambaalikaa."
prajaapati,sister of,devasenaa,"daityasenaa, daughter of prajaapati and sister of devasenaa."
raakshasi,sister of,hidimba,"hidimbaa, a raakshasi, sister of hidimba and by bhimasena, mother of ghatotkaca."
jaratkaaru,sister of,vaasuki,"at last he married jaratkaaru, the sister of vaasuki, the king of serpents, who intended by this marriage to neutralize the curse inflicted on the serpents by their mother."
jaratkaaru2,sister of,vaasuki,"jaratkaaru2, sister of vaasuki, the king of serpents, wife of jaratkaaru, and mother of aastika."
kripi,sister of,kripa,"kripi, sister of kripa, wife of drona, and mother of ashvatthaa man."
abhijit,sister of,rohini,"at the request of indra the krittikaas   are placed among the nakshatras  instead of abhijit, the younger sister of rohini, who from jealousy had repaired to the woods."
rukmini,sister of,rukmin,"rukmini, sister of rukmin, wife of krishna, and mother of pradyumna, etc."
raukmineya,sister of,saarana,"some days afterwards a mountain festival of the bhojas, vrishnis, and andhakas was held on the raivataka mountain there haladhara  with revati, followed by gandharvas, king ugrasena, with his wives, raukmineya, shaamba, akrura, saarana, gada, babhru, viduratha, nishatha, caarudeshna, prithu, viprithu, satyaka, saatyaki, bhangakaara, mahaarava, haardikya, uddhava, etc were present arjuna fell in love with subhadraa, the favourite daughter of vasudeva, the sister of krishna, and uterine sister of saarana."
raajarshi,son of,vashishtha,"ashmaka1, a raajarshi, son of vashishtha and madayanti, the wife of kalmaashapaada."
raajarshi,son of,madayanti,"ashmaka1, a raajarshi, son of vashishtha and madayanti, the wife of kalmaashapaada."
ashvalaayana,son of,vishvaamitras,"ashvalaayana, a son of vishvaamitras."
ashvatthaaman1,son of,drona,"ashvatthaaman1, son of drona and kripi."
ashvatthaaman1,son of,kripi,"ashvatthaaman1, son of drona and kripi."
aadiraaja,son of,avikshit,"aadiraaja, third son of avikshit and grandson of kuru."
adri1,son of,vishvagashva,"adri1, son of vishvagashva, descendant of ikshvaaku."
adridha,son of,jaraasandha,"adridha, son of jaraasandha."
ahamyaati,son of,samyaati,"ahamyaati, a king, son of samyaati and father of saarvabhauma."
aja6,son of,jahnu,"aja6, son of jahnu."
raajarshi,son of,aayu,"the serpent said that he was the raajarshi nahusha, the son of aayu, whom agastya had cursed to become a serpent, out of compassion, however, adding to his curse that the person who would be able to answer his questions would deliver him, and that even stronger beings would, when seized by him, lose their strength."
akshina,son of,vishvaamitra,"akshina, son of vishvaamitra."
